	MeSH Disease Term	PubMed occurrence
3363	Заболевания трохлеарного нерва	173
3364	Иллюзии	173
3365	Микоплазменные инфекции	172
3366	соматостатинома	172
3367	Полипоз кишечника	172
3368	Синдром ЭДИ	172
3369	гидранэнцефалия	172
3370	Нарушения свертывания крови, наследственные	172
3371	Травмы спины	172
3372	Ангина Людвига	171
3373	Отравление ртутью, нервная система	171
3374	Недержание мочи, позывы	171
3375	Т-лимфоцитопения, идиопатическая CD4-положительная	171
3376	Ангиолипома	170
3377	Миофиброматоз	170
3378	Синдром Титце	170
3379	нистагм, врожденный	170
3380	Предсердные преждевременные комплексы	170
3381	Мукополисахаридоз VII	170
3382	порфирия, эритропоэтическая	170
3383	Синдром краснухи, врожденный	169
3384	Аденома, ацидофильная	169
3385	Аренда	169
3386	Миоклонические эпилепсии, прогрессирующие	169
3387	Травмы черепных нервов	169
3388	Бактериальные инфекции центральной нервной системы	168
3389	Лимфома, экстранодальные NK-T-клетки	168
3390	Увеит, средний	167
3391	Дефекты эндокардиальной подушки	167
3392	Дивертикул Ценкера	167
3393	Чрезвычайные ситуации	167
3394	Кровопотеря, Хирургическая	167
3395	энтеробиоз	166
3396	Мышечная дистрофия, Эмери-Дрейфус	166
3397	Болезнь Канавана	166
3398	Постконтузионный синдром	165
3399	Абсцесс печени, пиогенный	164
3400	Дефекты фуркации	164
3401	Лейкоэнцефалит, острый геморрагический	164
3402	блефарофимоз	164
3403	Амилоидоз, семейный	164
3404	Эктима	163
3405	РНК-вирусные инфекции	163
3406	Ласса лихорадка	163
3407	Очаговая кожная гипоплазия	163
3408	Анемия, Даймонд-Блэкфан	163
3409	Ксантоматоз, церебротендинозный	163
3410	Евнухизм	163
3411	Линитис Пластика	162
3412	Папиллома внутрипротоковая	162
3413	Дефицит орнитинкарбамоилтрансферазы	162
3414	Радиальная невропатия	162
3415	Эрозия шейки матки	162
3416	Гипервитаминоз А	162
3417	Энцефалитозооноз	161
3418	порфирия, гепатоэритропоэтическая	161
3419	глоссалгия	161
3420	Тирозинемии	161
3421	Кормление и расстройства приема пищи в детском возрасте	161
3422	Циклотимическое расстройство	161
3423	Офтальмия новорожденных	160
3424	Лихорадка Рифт-Валли	160
3425	Нефрома, мезобластная	160
3426	Опухоль гладкой мускулатуры	160
3427	Синдром Нельсона	160
3428	лейкоареоз	160
3429	Саркома, альвеолярная мягкая часть	159
3430	MERRF-синдром	159
3431	Туберкулез, Центральная нервная система	158
3432	Инфекции спируриды	158
3433	Трофобластическая опухоль, плацентарная площадка	158
3434	Карцинома, гигантоклеточная	158
3435	Нарушения головной боли, вторичные	158
3436	Туберкулез с широкой лекарственной устойчивостью	157
3437	Паранеопластическая мозжечковая дегенерация	157
3438	Совместные свободные тела	157
3439	Резорбция плода	157
3440	Аномалия Шляпы Пилигрима	157
3441	Розовый лишай	157
3442	Буньявирусные инфекции	156
3443	Ороантральный свищ	156
3444	Гипоальдостеронизм	156
3445	Переломы, Хрящ	156
3446	Стрессовые расстройства, травматические, острые	156
3447	Шизофрения, Дезорганизованный	156
3448	Лейкемия, Пролимфоцитарная, Т-клеточная	155
3449	Хромосомная инверсия	155
3450	Шанкр	154
3451	Ранули	154
3452	Хондросаркома, мезенхимальная	154
3453	одонтодисплазия	154
3454	Неврологические проявления	154
3455	Энтропион	154
3456	Панофтальмит	153
3457	Гипертрофия десен	153
3458	Бедренная невропатия	153
3459	гематокольпос	153
3460	Пролапс тазовых органов	153
3461	Энцефаломиелит венесуэльских лошадей	152
3462	Карцинома, кожный придаток	152
3463	Легочный аспергиллез	152
3464	Гонадная дисгенезия, смешанная	152
3465	Двойной выход из правого желудочка	152
3466	спондилез	151
3467	Болезнь Микулича	151
3468	Синдром Ландау-Клеффнера	151
3469	Дерматит, Токсикодендрон	151
3470	Глиома зрительного нерва	150
3471	каналопатии	150
3472	Аденоматоидная опухоль	149
3473	Легочный аденоматоз, овца	148
3474	некатороз	148
3475	Челюстно-лицевые аномалии	148
3476	Болезнь Паркинсона, Постэнцефалит	148
3477	Наследственные демиелинизирующие заболевания центральной нервной системы	148
3478	Синдром Германского-Пудлака	148
3479	Синдром афферентной петли	147
3480	хориодеремия	147
3481	Пурпура, гиперглобулинемическая	147
3482	Яйцо Гиперчувствительность	147
3483	Невус Ота	146
3484	Гемопневмоторакс	146
3485	Дефицит антитромбина III	146
3486	Нейроаспергиллез	145
3487	Саркоцистоз	145
3488	Зуд Ани	145
3489	Дефицит комплекса пируватдегидрогеназы	145
3490	лейкоэнцефалопатии	145
3491	Синдром Лериша	145
3492	Персистирующая гиперинсулинемия Гипогликемия младенческого возраста	145
3493	Пародонтальная киста	144
3494	Синдром Брауна-Секара	144
3495	Мультикистозная диспластическая почка	144
3496	Родившийся Париж	144
3497	Компульсивное расстройство личности	144
3498	Эхиностомоз	143
3499	Синдром средней доли	143
3500	Инфекционный перитонит кошек	142
3501	Ганглионейробластома	141
3502	Эпилепсия доброкачественная неонатальная	141
3503	Синдром Шегрена-Ларссона	141
3504	Нарушения метаболизма глюкозы	141
3505	Вывих надколенника	141
3506	Аденосаркома	140
3507	Глюкозурия, почечная	140
3508	Сахарный диабет, липоатрофический	140
3509	Дефицит Ян	140
3510	Флавивирусные инфекции	139
3511	Болезнь Ниманна-Пика, тип C	139
3512	дисгевзия	139
3513	Онхоцеркоз, глазной	138
3514	Ашер синдромы	138
3515	Муциноз, фолликулярный	138
3516	Истерическое расстройство личности	138
3517	Новообразования придатков и придатков кожи	136
3518	Паранеопластическая полинейропатия	136
3519	плевропневмония	136
3520	Миастения Гравис, Аутоиммунная, Экспериментальная	136
3521	Гипертироксинемия	136
3522	Васкулит, ассоциированный с антинейтрофильными цитоплазматическими антителами	135
3523	XYY кариотип	135
3524	Бескаменный холецистит	134
3525	Парасомнии	134
3526	Гематометра	134
3527	Выздоровление	134
3528	Бациллярные инфекции	133
3529	Заболевания блуждающего нерва	133
3530	Корсаковский синдром	133
3531	Зуд вульвы	133
3532	Склеродермия, ограниченная	133
3533	Лихеноидный отрубевидный лишай	133
3534	Модели болезней, животные	133
3535	Вывих колена	133
3536	Остеопоротические переломы	133
3537	Синдром Мебиуса	132
3538	Пиомиозит	131
3539	Крукенбергская опухоль	131
3540	Карцинома Брауна-Пирса	131
3541	Деминерализация костей, патологическая	131
3542	Дивертикулез толстой кишки	131
3543	Деформации уха, приобретенные	131
3544	Болезнь Пелицеуса-Мерцбахера	131
3545	Ихтиоз, сцепленный с Х-хромосомой	131
3546	Гиперлипопротеинемия типа V	131
3547	Отсроченная функция трансплантата	131
3548	Эритроплазия	130
3549	Гипофосфатемический рахит, Х-сцепленный доминантный	130
3550	Потеря слуха, односторонняя	130
3551	альфа-маннозидоз	130
3552	Болезни приматов	130
3553	Походка Атаксия	129
3554	Ремоделирование желудочка	129
3555	Миотонические расстройства	128
3556	Сиалометаплазия, некротическая	128
3557	Метаболизм металлов, врожденные ошибки	128
3558	Холецистолитиаз	127
3559	Десневой карман	127
3560	саркопения	127
3561	Бранхио-ото-ренальный синдром	127
3562	Экзема, дисгидротическая	127
3563	Бруксизм во сне	126
3564	Инвазивный легочный аспергиллез	126
3565	Эписпадия	126
3566	Панникулит, красная волчанка	126
3567	Паракератоз	126
3568	гиперакузия	125
3569	Серома	125
3570	Синдром Айзекса	124
3571	Мышечные расстройства, атрофические	124
3572	Дентиновая дисплазия	124
3573	Амнезия, Антероградная	124
3574	Стафилококковое пищевое отравление	123
3575	Фиброма, Десмопластическая	123
3576	Парциальная эпилепсия Непрерывная	123
3577	Лейкоплакия, Волосатый	122
3578	Новообразования сложные и смешанные	122
3579	Одышка, пароксизмальная	122
3580	Агевзия	122
3581	Адреногенитальный синдром	122
3582	Карбункул	121
3583	цитруллинемия	121
3584	гидрофтальм	121
3585	Менопауза, преждевременная	121
3586	Александр Болезнь	120
3587	Эктопия объектива	120
3588	Плацента, сохраненная	120
3589	Перелом Монтеджиа	120
3590	Цеповой сундук	120
3591	Кератоконъюнктивит, инфекционный	119
3592	Светобоязнь	119
3593	гидраденит	119
3594	Нарушения липидного обмена	119
3595	Фолликулярная киста	118
3596	Эктазия антральных сосудов желудка	118
3597	Постперикардиотомический синдром	118
3598	Глоссит, доброкачественный мигрирующий	117
3599	Внутричерепное кровоизлияние, гипертоническая болезнь	117
3600	Синдром Снеддона	117
3601	Орбитальный целлюлит	117
3602	Угревая сыпь	117
3603	Автолиз	117
3604	Чума мелких жвачных	116
3605	нейротекеома	116
3606	гонадобластома	116
3607	Гидрартроз	116
3608	Перикоронит	116
3609	Приступы алкогольной абстиненции	116
3610	диссомнии	116
3611	Изолированное неуплотнение миокарда желудочков	116
3612	обморожения	116
3613	Дипеталонемные инфекции	115
3614	мезотелиома, кистозная	115
3615	Новообразования кистозные, муцинозные и серозные	115
3616	Синдром треснувшего зуба	115
3617	Миокардиальный мостик	115
3618	Внебольничная остановка сердца	115
3619	дерматит, периоральный	115
3620	Иммунопролиферативное заболевание тонкой кишки	114
3621	колит, коллагеноз	114
3622	Ретробульбарное кровоизлияние	114
3623	Нарушения белковой коагуляции	114
3624	Злоупотребление фенциклидином	114
3625	миксосаркома	113
3626	Тромбоз сагиттального синуса	113
3627	Астенозооспермия	113
3628	Одонтогенная киста, обызвествляющая	111
3629	Венерические опухоли, ветеринария	111
3630	Спазм пищевода, диффузный	111
3631	Болезнь Лафора	111
3632	Акродиния	111
3633	Болезнь накопления гликогена IV типа	111
3634	Гепаднавирусные инфекции	110
3635	Трахеобронхомегалия	110
3636	Тромбоз кавернозного синуса	110
3637	Эризипелоид	109
3638	Цирковирусные инфекции	109
3639	Аденома гипофиза, секретирующая гормон роста	109
3640	Назофарингит	109
3641	Афония	109
3642	Гиперглицинемия, некетотическая	109
3643	Синдром Гительмана	109
3644	Казенная презентация	109
3645	Эктромелия, инфекционная	108
3646	Саркома 37	108
3647	Эквинусная деформация	108
3648	Инфаркт, задняя мозговая артерия	108
3649	Дефицит пула хранения тромбоцитов	108
3650	Кофе с молоком	108
3651	Свищ слюнной железы	107
3652	Аномалии дыхательной системы	107
3653	Амавроз Фукс	107
3654	Лейкемия, нейтрофильная, хроническая	107
3655	Отечная болезнь свиней	107
3656	Инертный газовый наркоз	107
3657	сап	106
3658	Опухоль покоя надпочечников	106
3659	Оральный свищ	106
3660	Кровоизлияние в мозг, травматическое	106
3661	Шейный реберный синдром	106
3662	Язва Бурули	105
3663	Кошачья панлейкопения	105
3664	оспа птиц	105
3665	Лейкемия, бифенотипическая, острая	105
3666	ректоцеле	105
3667	миоз	105
3668	Марбургская вирусная болезнь	104
3669	Воздействие на пульпу зуба	104
3670	Гидропневмоторакс	104
3671	Анизокория	104
3672	Фистула пищеварительной системы	103
3673	Атрофия зрительного нерва, аутосомно-доминантная	103
3674	Апраксия, идеомоторная	103
3675	Беременность, Пролонгированная	103
3676	Садизм	103
3677	Энцефалит, Сент-Луис	102
3678	Трихостронгилез	102
3679	Нейроэктодермальная опухоль, меланотическая	102
3680	Протопорфирия, эритропоэтическая	102
3681	Синдром Толоса-Ханта	102
3682	Тромботические микроангиопатии	102
3683	Орех Гиперчувствительность	102
3684	изохромосомы	102
3685	Эксгибиционизм	102
3686	Синдром Галлерманна	101
3687	интертриго	101
3688	Hydroa Vacciniforme	101
3689	Пшеница Гиперчувствительность	101
3690	Мастоцитоз, кожный	100
3691	Папиллома, сосудистое сплетение	100
3692	Потеря слуха, функциональная	100
3693	Заболевания языкоглоточного нерва	100
3694	Инсулиновая кома	100
3695	Дефект аортопульмональной перегородки	100
3696	Множественные легочные узлы	99
3697	Гиперостоз, грудино-реберно-ключичный	99
3698	Истощающая болезнь, хроническая	99
3699	пегий бальзам	99
3700	Мазохизм	99
3701	гемонхоз	98
3702	Миофиброма	98
3703	Синдром Пламмера-Винсона	98
3704	Синдром Герстмана	98
3705	Центральная серозная хориоретинопатия	98
3706	синдром Шницлера	98
3707	Индуральная эритема	97
3708	Энтеротоксемия	97
3709	Ревматический узел	97
3710	Postcholecystectomy Syndrome	97
3711	Внутричерепные артериальные заболевания	97
3712	Посттравматическая головная боль	97
3713	Синдром смены часовых поясов	97
3714	Дефицит Инь	97
3715	Алкогольные расстройства	97
3716	Лейкемия, крупнозернистая лимфоцитарная	96
3717	Плагиоцефалия, несиностотическая	96
3718	Базальные ганглии Цереброваскулярная болезнь	96
3719	Болезнь Хартнупа	96
3720	Фримартинизм	96
3721	Крысиная лихорадка	95
3722	лейкемия, кошачьи	95
3723	Эноплида Инфекции	95
3724	опухоль Клацкина	95
3725	Миопатия, центральное ядро	95
3726	Медикаментозное поражение печени, хроническое	95
3727	Постпункционная головная боль	95
3728	ретропневмоперитонеум	95
3729	Протозойные инфекции центральной нервной системы	94
3730	Саркома мелкоклеточная	94
3731	Гидроцистома	94
3732	менингизм	94
3733	Кубитальный туннельный синдром	94
3734	Инверсия матки	94
3735	Болезнь Вольмана	94
3736	энцефалит, ветряная оспа	93
3737	нейрошистосомоз	93
3738	Внутричерепное кровоизлияние, травматическое	93
3739	Энцефалит, Калифорния	92
3740	Астровирусные инфекции	92
3741	балантидиаз	92
3742	Новообразования, жировая ткань	92
3743	Айнхум	92
3744	Мышечная дистрофия, окулофарингеальная	92
3745	Гранулема гортани	92
3746	Миоклоническая мозжечковая диссинергия	92
3747	Компульсивное переедание	92
3748	Бирнавирусные инфекции	91
3749	Заболевания нервно-мышечных соединений	91
3750	Синдром Кляйне-Левина	91
3751	Тромбоцитопения, неонатальная аллоиммунная	91
3752	Роговичная аберрация волнового фронта	90
3753	Дефицит цитохром-с-оксидазы	90
3754	Лейомиома, Эпителиоидная	89
3755	Опсоклонус-миоклонус синдром	89
3756	Синдром короткой реберной полидактилии	89
3757	стеаторея	89
3758	перинефрит	89
3759	Мили	89
3760	Дисморфические расстройства тела	89
3761	Везикулярная болезнь свиней	88
3762	АКТГ-секретирующая аденома гипофиза	88
3763	Повреждение легких, вызванное вентилятором	88
3764	Инфаркт передней мозговой артерии	88
3765	Моракселловые инфекции	87
3766	Африканская болезнь лошадей	87
3767	Плевродиния, Эпидемия	87
3768	Невус, внутрикожный	87
3769	Кистозная расщепление позвоночника	87
3770	Отравление свинцом, Нервная система, Детство	87
3771	Лимфатические аномалии	87
3772	Микотоксикоз	87
3773	Флеботомная лихорадка	86
3774	Эфемерная лихорадка	86
3775	аскаридоз	86
3776	Пилоростеноз, гипертрофический	86
3777	Септооптическая дисплазия	86
3778	круговая атрофия	86
3779	Глаукома низкого напряжения	86
3780	Синдром Висслера	85
3781	Неврологический синдром высокого давления	85
3782	Трикуспидальная атрезия	85
3783	Травмы сосудистой системы	85
3784	Ретроградная дегенерация	84
3785	Коровья оспа	83
3786	Гепатит D, хронический	83
3787	Регургитация, Желудочная	83
3788	Влажная дегенерация желтого пятна	83
3789	Нарушения питания плода	83
3790	Ринофима	83
3791	Пневмония свиней, микоплазменная	82
3792	Периваскулярные эпителиоидно-клеточные новообразования	82
3793	Дистальные миопатии	82
3794	Дыхание с положительным давлением, внутреннее	82
3795	Гематома, субдуральная, внутричерепная	82
3796	Лейкемия, Миеломоноцитарная, Ювенильная	81
3797	Колит, микроскопический	81
3798	Сердечный выброс, высокий	81
3799	новообразования, фиброэпителиальные	80
3800	Деформации верхних конечностей, врожденные	80
3801	Очаговая эпителиальная гиперплазия	80
3802	Фукозидоз	80
3803	Расстройства сна, внутренние	80
3804	Хрупкость хромосом	80
3805	мансонеллез	79
3806	Синдром Лангера-Гедиона	79
3807	Киста молочной железы	78
3808	Халазион	78
3809	ЛЕОПАРД синдром	78
3810	Тонический Зрачок	78
3811	Дисплазия сетчатки	78
3812	Болезнь накопления эфиров холестерина	78
3813	Мультисистемный синдром истощения свиней после отъема	78
3814	Катастрофическая болезнь	78
3815	Свиная рожа	77
3816	Лимфома, первичный выпот	77
3817	Новообразования анальной железы	77
3818	Контрактура бедра	77
3819	Микростомия	77
3820	Менингит, кишечная палочка	76
3821	Деформации рук	76
3822	Синдром вибрации кисти руки	76
3823	Кератодермия, ладонно-подошвенная, диффузная	76
3824	Распаренная киста	75
3825	Феномен отсутствия оплавления	75
3826	Болезненный ожирение	75
3827	Параноидальное расстройство личности	75
3828	Пограничная болезнь	74
3829	ВИЧ-энтеропатия	74
3830	глиома, субэпендимальная	74
3831	Синдром Ларона	74
3832	Фенилкетонурия, Материнская	74
3833	Некробиотические расстройства	74
3834	Эозинофильный эзофагит	73
3835	Вульгарный ихтиоз	73
3836	Склерема новорожденного	73
3837	гиперамилаземия	73
3838	Конъюнктивит, острый геморрагический	72
3839	Менингеальный карциноматоз	72
3840	Расстройство триггерного пальца	72
3841	Сперматоцеле	72
3842	Гематома, Субдуральная, Спинальная	72
3843	Зависимое расстройство личности	72
3844	остеофит	71
3845	Легкие, Гиперпрозрачные	71
3846	Боль, Направлено	71
3847	Нарушения половых хромосом	71
3848	Генипавирусные инфекции	70
3849	Перитонеальный фиброз	70
3850	Тромбоз латерального синуса	70
3851	Нейроаксональные дистрофии	70
3852	Эхолалия	70
3853	Окопная лихорадка	69
3854	циклоспороз	69
3855	Легочный подклапанный стеноз	69
3856	Посттромботический синдром	69
3857	Нарушения гемостаза	69
3858	Нитидус лишайник	69
3859	Лейкемия, миелоидная, ускоренная фаза	68
3860	акантома	68
3861	Анастомотическая утечка	68
3862	цистоцеле	68
3863	Предварительное возбуждение, тип Махаима	68
3864	Дисфункция сухожилия задней большеберцовой кости	67
3865	Кровоизлияние в мозг, травматическое	67
3866	Арк Сенилис	67
3867	Первичная дисфункция трансплантата	67
3868	Новообразования, посттравматические	66
3869	Болезнь накопления гликогена VII типа	66
3870	Энтерит трансмиссивный индеек	65
3871	гиподермия	65
3872	Мастоцитома	65
3873	Остеосаркома, юкстакортикальная	65
3874	Субарахноидальное кровоизлияние, травматическое	65
3875	Миоцимия	65
3876	Отравление свинцом, нервная система	65
3877	Дисгенезия гонад, 46,XX	65
3878	Синдром разрыва Неймегена	65
3879	Миксоматоз, инфекционный	64
3880	Лейшманиоз, диффузный кожный	64
3881	Солитарная фиброзная опухоль, плевральная	64
3882	Врожденная пахионихия	64
3883	Заболевания гонад	64
3884	Клещевые токсикозы	64
3885	Анкилоз зубов	63
3886	Тахикардия, повторный вход в синоатриальный узел	63
3887	Системный васкулит	63
3888	Микроскопический полиангиит	63
3889	склеромикседема	63
3890	Заболевания сальных желез	63
3891	Лейкемия, тучные клетки	62
3892	Синдром Унверрихта-Лундборга	62
3893	Бессонница, Фатальный Семейный	62
3894	Синдром Лютембахера	62
3895	переедание	62
3896	Гельминтоз центральной нервной системы	61
3897	Врожденный амавроз Лебера	61
3898	Аортальный стеноз, надклапанный	61
3899	Новообразования подъязычной железы	60
3900	Псевдобульбарный паралич	60
3901	Перелом черепа, депрессия	60
3902	Наследственные аутовоспалительные заболевания	60
3903	Синдром активации макрофагов	60
3904	Дендритно-клеточная саркома, фолликулярная	59
3905	Венозная ангиома центральной нервной системы	59
3906	Синдром Каплана	59
3907	Печеночная недостаточность	59
3908	Синдром постуральной ортостатической тахикардии	59
3909	Гиперпитуитаризм	59
3910	Отравление сигуатерой	59
3911	Тинея Фавоса	58
3912	Смешанная опухоль, мезодермальная	58
3913	Легочная склерозирующая гемангиома	58
3914	Идиопатическая интерстициальная пневмония	58
3915	Гистиоцитарный синдром морской синевы	58
3916	SUNCT-синдром	58
3917	Язык с трещинами	57
3918	Вегетативные цефалгии тройничного нерва	57
3919	Синдром Дениса-Драша	56
3920	Декальцинация, Патология	56
3921	Колит, Лимфоцитарный	56
3922	Большеберцовая невропатия	56
3923	Парс Планитис	56
3924	Клещевой паралич	56
3925	Артеривирусные инфекции	55
3926	Аденома, базофильная	55
3927	Терминальная стадия заболевания печени	55
3928	Дисгенезия щитовидной железы	55
3929	Трупное окоченение	55
3930	Новообразования, ткани гонад	54
3931	Синдром Клювера-Бьюси	54
3932	Сосудистые заболевания спинного мозга	54
3933	Заболевания добавочных нервов	54
3934	лиссэнцефалия	54
3935	сульфгемоглобинемия	54
3936	кандидемия	53
3937	Вишна	53
3938	WAGR-синдром	53
3939	нейрофибросаркома	53
3940	Перелом черепа, базилярный	53
3941	Пролапс аортального клапана	53
3942	Инфаркт миокарда передней стенки	53
3943	Комбинированные иммунодефициты, сцепленные с Х-хромосомой	53
3944	Недостатки протеостаза	53
3945	Отказ протеза	53
3946	Флавобактериальные инфекции	52
3947	Геотрихоз	52
3948	Хондродисплазия точечная, ризомелическая	52
3949	износ зубов	52
3950	Неоинтима	52
3951	Деформации нижних конечностей, врожденные	51
3952	Дисфункция сфинктера Одди	51
3953	незидиобластоз	51
3954	Алкогольная невропатия	51
3955	Ливедо ретикулярное	51
3956	копрофагия	51
3957	Паразитарные инфекции центральной нервной системы	50
3958	Новообразования соединительной и мягкой ткани	50
3959	Синдром передней спинномозговой артерии	50
3960	Отравление свинцом, Нервная система, Взрослый	50
3961	Дискретный субаортальный стеноз	50
3962	Пролапс трехстворчатого клапана	50
3963	Лейкостаз	50
3964	Келоидные прыщи	50
3965	Острый генерализованный экзантематозный пустулез	50
3966	Иммунопролиферативные заболевания	50
3967	Гепатит, инфекционный собачий	49
3968	Энтероколит, нейтропенический	49
3969	Языком, Волосатый	49
3970	Ортостатическая непереносимость	49
3971	Ганглиозидозы, GM2	49
3972	нейроакантоцитоз	49
3973	Классические лиссэнцефалии и подкорковые ленточные гетеротопии	49
3974	Эндолак	49
3975	Болезнь Фокса-Фордайса	49
3976	мониекоз	48
3977	Эндометриальные стромальные опухоли	48
3978	Парасистолия	48
3979	Блуждающая селезёнка	48
3980	Эктодермальная дисплазия 1, ангидротическая	48
3981	Криопирин-ассоциированные периодические синдромы	48
3982	Нарушения репарации ДНК	48
3983	Эритразма	47
3984	оспа обезьян	47
3985	Аскаридидные инфекции	47
3986	диентамебиаз	47
3987	Пароксизмальная гемикрания	47
3988	Гематоцеле	47
3989	Пренатальные травмы	47
3990	синдром Андерсена	47
3991	Предгипертония	47
3992	Липодистрофия, врожденная генерализованная	47
3993	Комплекс респираторных заболеваний крупного рогатого скота	46
3994	Болезнь накопления гликогена типа IIb	46
3995	Сонный паралич	46
3996	Расстройства перехода сон-бодрствование	46
3997	Овотестикулярные расстройства полового развития	46
3998	Синдром синего пальца ноги	46
3999	Молниеносная пурпура	46
4000	Синдром Вольфа-Хиршхорна	46
4001	Языковая щитовидная железа	46
4002	Кожные заболевания, метаболические	46
4003	Геморрагическая септицемия, вирусная	45
4004	эзофагостомоз	45
4005	Аутоиммунное заболевание нервной системы, экспериментальное	45
4006	Кровоизлияние в базальные ганглии	45
4007	Кровоизлияние в скорлупу	45
4008	синкинезии	45
4009	парафимоз	45
4010	Лейкоцитарные нарушения	45
4011	Липодистрофия, семейная парциальная	45
4012	Черноводная лихорадка	44
4013	Хориокарцинома, негестационная	44
4014	Новообразования, Мезотелиальные	44
4015	Метатарзалгия	44
4016	Первичные дисавтономии	44
4017	Акрокаллезный синдром	44
4018	Левокардия	44
4019	Тромбоз глубоких вен верхних конечностей	44
4020	Иммерсионная стопа	44
4021	кандидоз, инвазивный	43
4022	Гистиоцитарные нарушения, злокачественные	43
4023	Кома, после черепно-мозговой травмы	43
4024	Синдром Гроба-Лоури	43
4025	Ночные кошмары	43
4026	Проявления глаз	43
4027	Диабетические кардиомиопатии	43
4028	Дефицит биотинидазы	43
4029	Лупинг больной	42
4030	Кисты Тарлова	42
4031	Лимфома, первичная кожная анапластическая крупноклеточная	42
4032	Мезиальное перемещение зубов	42
4033	Болезнь накопления сиаловой кислоты	42
4034	Цереброваскулярная травма	42
4035	Сексуальный инфантилизм	42
4036	Синдром Киари-Фроммеля	42
4037	Злокачественный атрофический папулез	42
4038	Поверхность	41
4039	Висцеральный пролапс	41
4040	Метаболизм стероидов, врожденные ошибки	41
4041	Камень	40
4042	Энцефаломиелит, энзоотический свиной	40
4043	дикроцелиоз	40
4044	изоспороз	40
4045	Паралич, Гиперкалиемический Периодический	40
4046	Церебральная амилоидная ангиопатия, семейная	40
4047	Эпилепсия, Парциальная, Двигательная	40
4048	Расстройства пробуждения во сне	40
4049	вагинизм	40
4050	Ускоренный идиовентрикулярный ритм	40
4051	Множественный дефицит карбоксилазы	40
4052	Метаболизм фруктозы, врожденные ошибки	40
4053	Болезнь белых мышц	40
4054	Хламидийные инфекции	39
4055	Потеря слуха, смешанная кондуктивно-сенсоневральная	39
4056	Алексия, чистая	39
4057	Географическая атрофия	39
4058	гемоспермия	39
4059	Перекрещенное сердце	39
4060	Синдром Романо-Уорда	39
4061	стеатит	39
4062	Синдром Сильвера-Рассела	38
4063	Астма, индуцированная аспирином	38
4064	Стриатонигральная дегенерация	38
4065	Афазия, проводимость	38
4066	Вульводиния	38
4067	Эпидермит экссудативный свиней	38
4068	Гранулематоз, орофациальный	38
4069	фасциолоидоз	37
4070	Невус сальный Ядассона	37
4071	Оральные проявления	37
4072	Лизосомальные болезни накопления, нервная система	37
4073	Пороки развития вены Галена	37
4074	Потеря эндотелиальных клеток роговицы	37
4075	Инфекция винтовых червей	36
4076	Воспалительные новообразования молочной железы	36
4077	Синдром Хайду-Чейни	36
4078	Походка Апраксия	36
4079	Парасомния в фазе быстрого сна	36
4080	Параметрит	36
4081	Множественный дефицит ацилкофермента А дегидрогеназы	36
4082	Смерть	36
4083	Острый лучевой синдром	36
4084	Пневмовирусные инфекции	35
4085	Бульбо-спинальная атрофия, сцепленная с Х-хромосомой	35
4086	Центральный пуповинный синдром	35
4087	азотемия	35
4088	Гинатрезия	35
4089	актинобактериоз	34
4090	Сетариаз	34
4091	Лейкемия, эозинофильная, острая	34
4092	Адамантинома	34
4093	Болезнь де Кервена	34
4094	Эпилепсия, Парциальная, Сенсорная	34
4095	Перикранный синус	34
4096	Утреннее недомогание	34
4097	Инфаркт миокарда нижней стенки	34
4098	Аутоиммунный лимфопролиферативный синдром	34
4099	Солнечный удар	34
4100	Синдром Лемьера	33
4101	проказа, мультибациллярная	33
4102	Рубулавирусные инфекции	33
4103	Халлюкс Ригидус	33
4104	Макростомия	33
4105	Перивентрикулярная узловая гетеротопия	33
4106	Гидроколпос	33
4107	Синдром Джервелла-Ланге-Нильсена	33
4108	Дефицит фруктозо-1,6-дифосфатазы	33
4109	ячмень	32
4110	Пневмония, риккетсиоз	32
4111	Везикулярная экзантема свиней	32
4112	Морбилливирусные инфекции	32
4113	пасхальное тагиазис	32
4114	Лютеома	32
4115	Остеохондроз	32
4116	Бедренно-вертлужная импинджмент	32
4117	Эмфизематозный холецистит	32
4118	антракоз	32
4119	Пневмония атипичная интерстициальная крупного рогатого скота	32
4120	Дефицит мевалонаткиназы	32
4121	Болезнь фон Виллебранда, тип 2	32
4122	Синдром иммунодефицита гипер-IgM	31
4123	Увеопаротидная лихорадка	31
4124	Новообразования, протоковые, лобулярные и медуллярные	30
4125	все шпоры	30
4126	Порфирия, Вариегата	30
4127	Анаплазматные инфекции	29
4128	Новообразования, Плазматические клетки	29
4129	Синдром Мьюира-Торре	29
4130	Акроостеолиз	29
4131	Гиперцементоз	29
4132	Рефлекс, Бабинский	29
4133	Дублирование хромосом	29
4134	Заболевание бугорчатой кожи	28
4135	Филовирусные инфекции	28
4136	Герпангина	28
4137	Аденоматоз, легочный	28
4138	периимплантит	28
4139	Летаргия	28
4140	Уретеролитиаз	28
4141	Вульварный вестибулит	28
4142	акаталазия	28
4143	Кожные заболевания, экзематозные	28
4144	Внутрисуставные переломы	28
4145	Везикулярный стоматит	27
4146	Анаплазия	27
4147	TDP-43 Протеинопатии	27
4148	Комплекс Карни	26
4149	Тифлит	26
4150	Болезнь Ниманна-Пика, тип B	26
4151	Дефицит пируваткарбоксилазы	26
4152	Гиперсонливость, Идиопатическая	26
4153	Тахикардия, реципрокная	26
