,rid,disease_cui,snomed_code,Terms
1542,1543,C1827396,422527005,Refractory infantile spasms
1543,1544,C0009663,240542006,Condyloma acuminatum
1544,1545,C0039621,10629009,Tetany (disorder)
1545,1546,C0156348,53913001,Endometriosis in scar of skin
1546,1547,C0404559,266607004,Perimenopausal disorder
1547,1548,C0438418,193010006,Visual reflex epilepsy
1548,1549,C1274149,402699002,Chondrodermatitis nodularis (disorder)
1549,1550,C0393682,230393000,Lateral temporal epilepsy
1550,1551,C0015634,18690003,Farmers' lung
1551,1552,C0029594,190822009,Other disorder of plasma protein metabolism
1552,1553,C0234517,48257004,Anarthria
1553,1554,C0271405,50801008,Vitreous liquifaction (disorder)
1554,1555,C0276584,89565008,AIDS with malaise
1555,1556,C0040409,69244009,Disorder of tongue
1556,1557,C0085580,59621000,Essential hypertension
1557,1558,C0152110,85007004,Meralgia paresthetica (disorder)
1558,1559,C0333997,128863005,Lymphoid hyperplasia
1559,1560,C0751406,15743005,Posttraumatic osteoporosis
1560,1561,C1313963,398570005,Diarrhea due to staphylococcus
1561,1562,C1571960,155010002,(Spinocerebellar disease) or (cerebellar ataxia) or (cerebellar disease)
1562,1563,C0029790,197510002,[X]Other specified disorders of teeth and supporting structures
1563,1564,C0406688,238988008,Psoriasiform drug eruption
1564,1565,C1299435,371806006,Progressive Angina (disorder)
1565,1566,C0038325,73442001,Stevens-Johnson syndrome
1566,1567,C0085543,193017009,Kojevnikov's epilepsy
1567,1568,C0267556,2946003,Osmotic diarrhea
1568,1569,C1285471,363343008,Hereditary disorder of the visual system
1569,1570,C0029805,201088002,Other specified atrophic and hypertrophic conditions of skin NOS
1570,1571,C0276573,73266005,AIDS with fatigue
1571,1572,C0278201,73840001,Ideational partial seizure
1572,1573,C0342100,237462004,Nipple infection
1573,1574,C0393746,230478000,Low pressure headache
1574,1575,C0042798,246635007,Dim vision
1575,1576,C0266104,64268004,Median palatal cyst
1576,1577,C0270759,5822000,Athetosis with spastic paraplegia
1577,1578,C0405080,199025001,Hyperemesis gravidarum with metabolic disturbance
1578,1579,C0042454,229727006,Velopharyngeal inadequacy
1579,1580,C0042454,278714002,Velopharyngeal insufficiency
1580,1581,C0234538,9112001,Puerperal convulsion
1581,1582,C0393735,230461009,Headache disorder
1582,1583,C0029581,266346007,Other nasal cavity and sinus disease
1583,1584,C0393717,230443000,Narcotic withdrawal epilepsy
1584,1585,C0158225,202627009,Other specified joint disorders of the hand
1585,1586,C0406300,238588001,Dermographic prurigo
1586,1587,C1299437,371809004,Recurrent angina after coronary stent placement
1587,1588,C1960276,425739008,Brainerd diarrhea
1588,1589,C1274749,403389006,Postmenopausal flushing
1589,1590,C1971759,156113005,Vomiting in pregnancy (& [excess] or [hyperemesis gravidarum] or [morning sickness])
1590,1591,C2919725,445137006,Accumulation of bile in abdominal cavity
1591,1592,C0347942,271839005,Sphincter ani incontinence
1592,1593,C1275488,419735006,Scaling eczema
1593,1594,C0002963,87343002,Prinzmetal angina
1594,1595,C0263589,18869009,Chlorpromazine pigmentation
1595,1596,C1446219,413100008,Akinetic rigid syndrome
1596,1597,C0393484,230191005,Rasmussen syndrome
1597,1598,C2316074,430940009,Disorder of glenohumeral joint
1598,1599,C0009373,128524007,Disorder of colon
1599,1600,C0266919,45676007,Gingival polyp
1600,1601,C0340850,234163005,Neurally-mediated syncope
1601,1602,C0232711,11003002,Nervous diarrhea
1602,1603,C0236048,87252009,Gastric polyposis
1603,1604,C1960870,427419006,Transformed migraine
1604,1605,C1997249,427972000,Pudendal neuralgia
1605,1606,C0154836,193366002,Other intraretinal microvascular abnormality (disorder)
1606,1607,C0456750,95815000,Central positional vertigo
1607,1608,C0014518,23067006,"Lyell's toxic epidermal necrolysis, subepidermal type"
1608,1609,C0079035,421869004,Bradyarrhythmia
1609,1610,C0406298,238586002,Subacute prurigo
1610,1611,C1321575,246529004,Simple partial seizure with focal motor signs with march
1611,1612,C0270846,189198006,Epileptic drop attack
1612,1613,C0275983,407373009,Bovine coronoviral diarrhea
1613,1614,C0349698,278695009,Aspirated blood in lower respiratory tract
1614,1615,C0473133,236077008,Protracted diarrhea
1615,1616,C1274332,402906004,Viral wart on lip
1616,1617,C0154678,155003008,Other extrapyramidal disease and abnormal movement disorders (disorder)
1617,1618,C1996989,428867008,Diarrhea due to drug
1618,1619,C0013677,285588004,Nutrition deficiency due to insufficient food
1619,1620,C0015300,18265008,Exophthalmos (disorder)
1620,1621,C0264620,11536005,Anterior rhinolalia clausa
1621,1622,C0270708,29702001,Aphasia-left parietal lobe syndrome
1622,1623,C0311267,65328007,Hill diarrhea
1623,1624,C0406138,238410003,Staphylococcal intertrigo
1624,1625,C0424291,277850002,Diogenes syndrome
1625,1626,C0459146,280128006,Disorder of soft tissue of body cavity
1626,1627,C0729771,312422001,Infective pharyngitis (disorder)
1627,1628,C0271187,9428001,Refractive polyopia
1628,1629,C2919930,445120004,Uremia due to inadequate renal perfusion
1629,1630,C2960589,446985003,Verruca vulgaris of skin of cheek
1630,1631,C0007761,73495003,Dyssynergia cerebellaris myoclonica
1631,1632,C0341017,235064008,Syphilitic gumma of oral cavity
1632,1633,C1828175,422873003,Refractory epilepsia partialis continua
1633,1634,C0014742,36715001,Erythema multiforme
1634,1635,C0030286,3855007,Disorder of pancreas
1635,1636,C0220669,230410004,Benign neonatal familial convulsions
1636,1637,C0234533,246545002,Generalized seizure
1637,1638,C0267771,69559004,Retroperitoneal mass
1638,1639,C0025209,414662006,Melanosis (disorder)
1639,1640,C2315519,430535006,Acute renal failure with oliguria
1640,1641,C0158053,63643000,Derangement of knee (disorder)
1641,1642,C0701163,267395000,Adrenogenital disorder
1642,1643,C1304463,403176008,Acute edema - cutaneous distension syndrome
1643,1644,C0221385,64102008,Syphilitic gumma (disorder)
1644,1645,C0231657,79699005,Snapping scapula
1645,1646,C0234143,41786007,Neurological muscle weakness
1646,1647,C0277526,46799006,Dysenteric diarrhea
1647,1648,C0393901,230651008,Disorders of spinal neurones manifest by hyperactivity
1648,1649,C0400875,235832002,Hollow visceral neuropathy
1649,1650,C0406044,267803005,Other pruritic conditions NOS
1650,1651,C2316756,433081000,Organic amnesia of language
1651,1652,C0029827,187121003,Other specified schistosoma NOS
1652,1653,C0393731,230457003,Non-convulsive status epilepticus with three per second spike wave
1653,1654,C1274972,403650009,Stellate pseudoscars due to corticosteroids
1654,1655,C0263660,312225001,Musculoskeletal and connective tissue disorder
1655,1656,C0020555,271607001,Excessive hair growth
1656,1657,C0033772,43118004,Prurigo papule
1657,1658,C0393699,230417001,Symptomatic West syndrome
1658,1659,C0458167,279048002,Internal mammary artery syndrome
1659,1660,C1304478,403383007,Lymphedema of lip
1660,1661,C0007863,71760005,Cervico-occipital neuralgia
1661,1662,C0014130,362969004,Disorder of endocrine system
1662,1663,C0042268,198212006,Vaginitis and vulvovaginitis (disorder)
1663,1664,C0234497,26610007,Amusia
1664,1665,C0393640,230359004,Secondary amyloid encephalopathy
1665,1666,C0403660,8137003,Non-organic primary enuresis
1666,1667,C1275974,400146000,Splenic hamartoma
1667,1668,C0264886,44808001,Conduction disorder of the heart (disorder)
1668,1669,C0476214,272038003,C/O - postviral syndrome
1669,1670,C0001396,46935006,Stokes-Adams syndrome
1670,1671,C0005937,203465002,Bone cyst
1671,1672,C0158233,202638009,"Joint disorder NOS, of the forearm"
1672,1673,C0267206,18935007,Isolated idiopathic granuloma of stomach
1673,1674,C0454630,229723005,Restricted sound system
1674,1675,C0687754,276549000,Transient neonatal hyperbilirubinemia
1675,1676,C0740441,409966000,Acute diarrhea
1676,1677,C1546197,155404005,(Transient ischaemic attacks) or (vertebro-basilar insufficiency) or (drop attacks)
1677,1678,C1546197,155404005,(Transient ischemic attacks) or (vertebro-basilar insufficiency) or (drop attacks)
1678,1679,C0006261,41427001,Disorder of bronchus
1679,1680,C0029785,198558008,[X]Other specified disorders of penis
1680,1681,C0155503,38403006,Vertigo of central origin
1681,1682,C0263658,34835007,Picker's nodules
1682,1683,C0393719,230445007,Nocturnal epilepsy
1683,1684,C3249881,255320000,Infection - suppurative
1684,1685,C0155936,266418006,Gingival and periodontal disease
1685,1686,C0242078,232073009,Angiomatosis of retina
1686,1687,C0264003,30173002,Primary fibrositis
1687,1688,C0264622,275472008,Psychogenic dysphonia
1688,1689,C0277528,11840006,Traveler's diarrhea
1689,1690,C0002453,14302001,Amenorrhea (finding)
1690,1691,C1960676,427111000,Non-epileptic myoclonus
1691,1692,C0263427,51057008,Ulerythema of cheeks
1692,1693,C0276468,79800001,Epidemic diarrheal disease of infant mouse (disorder)
1693,1694,C0277509,76821002,Epidemic cervical myalgia
1694,1695,C0393675,230386004,Childhood epilepsy with occipital paroxysms
1695,1696,C0393695,230412007,Myoclonic epilepsy of early childhood
1696,1697,C0406508,238774003,Idiopathic livedo reticularis with winter ulceration
1697,1698,C0037274,95320005,Disorder of skin
1698,1699,C0341957,237283007,Eclampsia in labor
1699,1700,C0393741,230474003,Chronic cluster headache unremitting from onset
1700,1701,C0270859,26150009,Lower half migraine
1701,1702,C0395932,361271008,Recurrent vestibulopathy
1702,1703,C0338443,24059009,Acute cerebellar ataxia due to varicella
1703,1704,C0477758,197955002,Other specified diseases of urinary system
1704,1705,C0743332,445006008,Focal dystonia
1705,1706,C0427129,250003005,Low level sensorimotor gait disorder
1706,1707,C1304483,403470007,Penile venereal edema
1707,1708,C0406670,238968009,Vulvodynia (disorder)
1708,1709,C0152134,49823009,Internuclear ophthalmoplegia
1709,1710,C0349716,279059006,Hypoglossal neuralgia
1710,1711,C1277259,135830006,Pangastritis
1711,1712,C0004608,193355009,Unspecified background retinopathy
1712,1713,C0013369,236076004,Infective diarrhea
1713,1714,C0021603,194437008,Disorders of initiating and maintaining sleep
1714,1715,C0029782,198088009,Other specified diseases of male genital organ
1715,1716,C0029782,198561009,[X]Other specified disorders of male genital organs
1716,1717,C0043037,57019003,Verruca vulgaris
1717,1718,C0376288,70449006,Amaurosis (disorder)
1718,1719,C0269102,116342008,Endometrial cyst of ovary
1719,1720,C0406792,239103006,Prurigo of pregnancy
1720,1721,C0264677,85284003,"Angina, class III"
1721,1722,C0406778,239088003,Dermatopathia pigmentosa reticularis (disorder)
1722,1723,C0152164,18773000,Cyclical vomiting syndrome
1723,1724,C0235840,268850004,Neonatal diarrhea
1724,1725,C0393742,230475002,Chronic cluster headache evolved from episodic cluster headache
1725,1726,C0406844,239175003,Post-thoracotomy pain syndrome
1726,1727,C0546212,109252001,Brachioradial summer pruritus
1727,1728,C1535033,155521003,(Chronic pharyngitis/nasopharyngitis) or (catarrh) or (congested nose)
1728,1729,C1621769,418073009,Pseudoparalysis due to generalized arthritis
1729,1730,C0005461,83275001,Binocular vision disorder
1730,1731,C0024530,105649009,Disease due to Plasmodiidae
1731,1732,C0155527,194697000,[X]Other disorders of ear
1732,1733,C0155527,194384009,Other ear disorders
1733,1734,C0393739,230472004,Episodic cluster headache
1734,1735,C0472349,230390002,Localization-related symptomatic epilepsy
1735,1736,C0158234,428360003,Arthropathy of joint of hand
1736,1737,C0269660,69909000,Eclampsia added to pre-existing hypertension
1737,1738,C0393718,230444006,Menstrual epilepsy
1738,1739,C0549567,414032001,Disorder of pigmentation
1739,1740,C0553565,196317007,Posteruptive teeth staining
1740,1741,C1720077,422087002,Micropsia due to organic disease
1741,1742,C0264634,71386003,Voice disorder due to iatrogenic factor
1742,1743,C0348727,197520007,[X]Other specified diseases of esophagus
1743,1744,C1283803,361116004,Female Kallman's syndrome
1744,1745,C1302110,398884005,Postmyelography headache
1745,1746,C0013405,59265000,Paroxysmal dyspnea
1746,1747,C0022362,37156001,Disorder of jaw
1747,1748,C0028850,45030009,Disorder of eye movements
1748,1749,C0267525,11767005,Bilious vomiting following gastrointestinal surgery
1749,1750,C0275753,56347002,Vitiligo of pinta
1750,1751,C0406567,238846003,Collagen and elastic tissue disorders affecting skin
1751,1752,C0423692,247371005,Gluteal syndrome
1752,1753,C0451910,200951007,Erythema marginatum in acute rheumatic fever
1753,1754,C0751783,230425004,Lafora disease
1754,1755,C2919600,445163001,Bleeding Meckel's diverticulum
1755,1756,C0020454,26857005,Hyperesthesia dolorosa
1756,1757,C0154723,4473006,Migraine with aura
1757,1758,C0270837,193004006,Epileptic automatism
1758,1759,C0037284,95324001,Skin lesion
1759,1760,C1290865,118928003,Disorder of abdominal wall
1760,1761,C0027404,60380001,Narcolepsy (disorder)
1761,1762,C0268877,70795003,Urethral cyst
1762,1763,C0278198,16873003,Musicogenic seizure
1763,1764,C0157735,201203002,Other specified sweat gland disorders
1764,1765,C0270824,39194005,Visual epilepsy
1765,1766,C1561862,442549008,High altitude periodic breathing
1766,1767,C0156173,47812002,Functional diarrhea
1767,1768,C0270977,76156000,Juvenile cerebellar degeneration AND myoclonus
1768,1769,C0520947,57187006,Clumsy child
1769,1770,C1960172,426190008,Maxillary cyst
